iter	MultiClass
0	1.239744069
1	1.123880976
2	1.009292306
3	0.9142513573
4	0.8427677662
5	0.7732207079
6	0.7094369364
7	0.6569198997
8	0.6195257074
9	0.5796331472
10	0.5471631028
11	0.5187204796
12	0.4923042969
13	0.4657017598
14	0.4414037382
15	0.4206039288
16	0.4000341982
17	0.3843817321
18	0.3677727419
19	0.3549791977
20	0.3408266479
21	0.3293613219
22	0.3197058245
23	0.3077823102
24	0.2973237492
25	0.2862581427
26	0.277252023
27	0.2697578316
28	0.2626148031
29	0.2556320376
30	0.2479616419
31	0.2410366114
32	0.2331268038
33	0.2274893607
34	0.222639861
35	0.2166030315
36	0.2115940425
37	0.2066608688
38	0.2028907563
39	0.1983369997
40	0.1946246132
41	0.1908688144
42	0.1872166394
43	0.1828168263
44	0.1801590995
45	0.1768462628
46	0.1741850938
47	0.1705507905
48	0.1684377303
49	0.1655264801
50	0.1624704953
51	0.1595205827
52	0.1567850229
53	0.1552898636
54	0.1531542965
55	0.1515203651
56	0.1487898321
57	0.1463722884
58	0.1444100524
59	0.1428386036
60	0.1409325639
61	0.1387871046
62	0.1372324406
63	0.1356116237
64	0.1344142897
65	0.1327594122
66	0.1315867154
67	0.1296412199
68	0.1275318311
69	0.1262357442
70	0.1245572066
71	0.1235640551
72	0.1221602072
73	0.120652448
74	0.1191575052
75	0.1180437366
76	0.1166243049
77	0.1150125716
78	0.113483374
79	0.1123905261
80	0.1111554462
81	0.1094437904
82	0.1085966278
83	0.1077054031
84	0.1066981352
85	0.1057819889
86	0.1050543981
87	0.1041513661
88	0.1033779127
89	0.1028218435
90	0.1015516041
91	0.1004839925
92	0.09889546118
93	0.0976765522
94	0.09629382003
95	0.09554487001
96	0.09485590932
97	0.09428015888
98	0.09353406288
99	0.0924966874
