iter	Passed	Remaining
0	14	1472
1	28	1411
2	39	1282
3	53	1294
4	68	1296
5	81	1278
6	94	1261
7	105	1214
8	128	1295
9	143	1290
10	154	1247
11	167	1231
12	181	1213
13	195	1200
14	207	1178
15	219	1150
16	232	1137
17	247	1126
18	260	1109
19	275	1103
20	286	1078
21	300	1066
22	315	1057
23	330	1045
24	342	1028
25	353	1005
26	367	992
27	381	979
28	395	968
29	411	961
30	425	946
31	436	926
32	449	913
33	464	902
34	478	887
35	492	874
36	502	855
37	516	842
38	530	829
39	543	815
40	558	803
41	568	784
42	581	770
43	595	757
44	609	745
45	623	731
46	635	716
47	647	701
48	660	687
49	675	675
50	689	662
51	702	648
52	713	632
53	727	619
54	740	606
55	755	593
56	765	577
57	779	564
58	793	551
59	805	537
60	820	524
61	834	511
62	845	496
63	859	483
64	873	470
65	886	456
66	896	441
67	910	428
68	924	415
69	937	401
70	957	391
71	972	378
72	985	364
73	995	349
74	1010	336
75	1024	323
76	1038	310
77	1051	296
78	1064	283
79	1075	268
80	1089	255
81	1104	242
82	1118	229
83	1130	215
84	1141	201
85	1155	188
86	1170	174
87	1183	161
88	1196	147
89	1207	134
90	1221	120
91	1236	107
92	1248	93
93	1262	80
94	1273	67
95	1287	53
96	1301	40
97	1315	26
98	1328	13
99	1339	0
